Time,key,value
2023-10-01T23:52Z,Javier Milei,12
2023-10-01T23:52Z,Sergio Massa,6
2023-10-01T23:52Z,Patricia Bullrich,9
2023-10-01T23:52Z,Myriam Bregman,3
2023-10-01T23:52Z,Juan Schiaretti,4
2023-10-02,Javier Milei,10
2023-10-02,Sergio Massa,4
2023-10-02,Patricia Bullrich,4
2023-10-02,Myriam Bregman,6
2023-10-02,Juan Schiaretti,3
2023-10-02T00:08Z,Javier Milei,17
2023-10-02T00:08Z,Sergio Massa,12
2023-10-02T00:08Z,Patricia Bullrich,9
2023-10-02T00:08Z,Myriam Bregman,6
2023-10-02T00:08Z,Juan Schiaretti,40
2023-10-02T00:16Z,Javier Milei,21
2023-10-02T00:16Z,Sergio Massa,12
2023-10-02T00:16Z,Patricia Bullrich,6
2023-10-02T00:16Z,Myriam Bregman,11
2023-10-02T00:16Z,Juan Schiaretti,52
2023-10-02T00:24Z,Javier Milei,17
2023-10-02T00:24Z,Sergio Massa,29
2023-10-02T00:24Z,Patricia Bullrich,10
2023-10-02T00:24Z,Myriam Bregman,25
2023-10-02T00:24Z,Juan Schiaretti,48
2023-10-02T00:32Z,Javier Milei,25
2023-10-02T00:32Z,Sergio Massa,19
2023-10-02T00:32Z,Patricia Bullrich,29
2023-10-02T00:32Z,Myriam Bregman,9
2023-10-02T00:32Z,Juan Schiaretti,57
2023-10-02T00:40Z,Javier Milei,21
2023-10-02T00:40Z,Sergio Massa,36
2023-10-02T00:40Z,Patricia Bullrich,18
2023-10-02T00:40Z,Myriam Bregman,41
2023-10-02T00:40Z,Juan Schiaretti,100
2023-10-02T00:48Z,Javier Milei,23
2023-10-02T00:48Z,Sergio Massa,16
2023-10-02T00:48Z,Patricia Bullrich,18
2023-10-02T00:48Z,Myriam Bregman,41
2023-10-02T00:48Z,Juan Schiaretti,85
2023-10-02T00:56Z,Javier Milei,35
2023-10-02T00:56Z,Sergio Massa,18
2023-10-02T00:56Z,Patricia Bullrich,12
2023-10-02T00:56Z,Myriam Bregman,21
2023-10-02T00:56Z,Juan Schiaretti,33
2023-10-02T01:04Z,Javier Milei,26
2023-10-02T01:04Z,Sergio Massa,12
2023-10-02T01:04Z,Patricia Bullrich,9
2023-10-02T01:04Z,Myriam Bregman,13
2023-10-02T01:04Z,Juan Schiaretti,22
2023-10-02T01:12Z,Javier Milei,19
2023-10-02T01:12Z,Sergio Massa,10
2023-10-02T01:12Z,Patricia Bullrich,34
2023-10-02T01:12Z,Myriam Bregman,36
2023-10-02T01:12Z,Juan Schiaretti,91
2023-10-02T01:20Z,Javier Milei,27
2023-10-02T01:20Z,Sergio Massa,21
2023-10-02T01:20Z,Patricia Bullrich,24
2023-10-02T01:20Z,Myriam Bregman,44
2023-10-02T01:20Z,Juan Schiaretti,45
2023-10-02T01:28Z,Javier Milei,33
2023-10-02T01:28Z,Sergio Massa,14
2023-10-02T01:28Z,Patricia Bullrich,12
2023-10-02T01:28Z,Myriam Bregman,28
2023-10-02T01:28Z,Juan Schiaretti,63
2023-10-02T01:36Z,Javier Milei,28
2023-10-02T01:36Z,Sergio Massa,22
2023-10-02T01:36Z,Patricia Bullrich,16
2023-10-02T01:36Z,Myriam Bregman,46
2023-10-02T01:36Z,Juan Schiaretti,63
2023-10-02T01:44Z,Javier Milei,53
2023-10-02T01:44Z,Sergio Massa,17
2023-10-02T01:44Z,Patricia Bullrich,25
2023-10-02T01:44Z,Myriam Bregman,57
2023-10-02T01:44Z,Juan Schiaretti,53
2023-10-02T01:52Z,Javier Milei,33
2023-10-02T01:52Z,Sergio Massa,19
2023-10-02T01:52Z,Patricia Bullrich,21
2023-10-02T01:52Z,Myriam Bregman,32
2023-10-02T01:52Z,Juan Schiaretti,49
2023-10-02T02:00Z,Javier Milei,29
2023-10-02T02:00Z,Sergio Massa,14
2023-10-02T02:00Z,Patricia Bullrich,13
2023-10-02T02:00Z,Myriam Bregman,31
2023-10-02T02:00Z,Juan Schiaretti,43
2023-10-02T02:08Z,Javier Milei,27
2023-10-02T02:08Z,Sergio Massa,14
2023-10-02T02:08Z,Patricia Bullrich,17
2023-10-02T02:08Z,Myriam Bregman,21
2023-10-02T02:08Z,Juan Schiaretti,24
2023-10-02T02:16Z,Javier Milei,27
2023-10-02T02:16Z,Sergio Massa,12
2023-10-02T02:16Z,Patricia Bullrich,10
2023-10-02T02:16Z,Myriam Bregman,19
2023-10-02T02:16Z,Juan Schiaretti,16
2023-10-02T02:24Z,Javier Milei,24
2023-10-02T02:24Z,Sergio Massa,10
2023-10-02T02:24Z,Patricia Bullrich,8
2023-10-02T02:24Z,Myriam Bregman,14
2023-10-02T02:24Z,Juan Schiaretti,13
2023-10-02T02:32Z,Javier Milei,26
2023-10-02T02:32Z,Sergio Massa,10
2023-10-02T02:32Z,Patricia Bullrich,11
2023-10-02T02:32Z,Myriam Bregman,11
2023-10-02T02:32Z,Juan Schiaretti,12
2023-10-02T02:40Z,Javier Milei,21
2023-10-02T02:40Z,Sergio Massa,8
2023-10-02T02:40Z,Patricia Bullrich,10
2023-10-02T02:40Z,Myriam Bregman,11
2023-10-02T02:40Z,Juan Schiaretti,18
2023-10-02T02:48Z,Javier Milei,21
2023-10-02T02:48Z,Sergio Massa,8
2023-10-02T02:48Z,Patricia Bullrich,7
2023-10-02T02:48Z,Myriam Bregman,13
2023-10-02T02:48Z,Juan Schiaretti,11
2023-10-02T02:56Z,Javier Milei,19
2023-10-02T02:56Z,Sergio Massa,8
2023-10-02T02:56Z,Patricia Bullrich,7
2023-10-02T02:56Z,Myriam Bregman,9
2023-10-02T02:56Z,Juan Schiaretti,14
2023-10-02T03:04Z,Javier Milei,18
2023-10-02T03:04Z,Sergio Massa,7
2023-10-02T03:04Z,Patricia Bullrich,5
2023-10-02T03:04Z,Myriam Bregman,7
2023-10-02T03:04Z,Juan Schiaretti,12
